c,B1,B2,B3,B4,B5,B6,B7
26.8,0.00349011,0.0075001,0.0471754,0.0718701,0.230429,0.272245,0.204821
27,0.0145251,0.0151381,0.0433072,0.0314154,0.310118,0.163354,0.0961449
27.2,0.0316837,0.0262384,0.0549562,0.0501533,0.346245,0.145529,0.090041
27.6,0.0155379,0.0131756,0.0433286,0.03956,0.302161,0.148873,0.0814931
27.7,0.0474905,0.0493286,0.100499,0.11859,0.315373,0.239804,0.159375
27.8,0.0440399,0.0376457,0.070572,0.0578653,0.321807,0.190663,0.121114
28.1,0.0355485,0.03512,0.0782338,0.0835164,0.329392,0.203431,0.124628
28.4,0.054114,0.0656435,0.109636,0.171312,0.326268,0.318389,0.190856
28.4,0.0403272,0.0387826,0.0568943,0.0744169,0.258593,0.182675,0.127321
28.5,0.0590726,0.0484883,0.0690462,0.0521743,0.344194,0.164391,0.0849197
28.6,0.0767845,0.0693615,0.103309,0.0961621,0.395943,0.27058,0.174346
28.9,0.032672,0.0283621,0.050671,0.0560372,0.203627,0.229353,0.152141
28.9,0.0240828,0.0157507,0.0347936,0.0238606,0.27315,0.0865356,0.0462314
29,0.0674023,0.0643263,0.118558,0.136273,0.39795801,0.31815499,0.206366
29.1,0.0805965,0.0815072,0.119264,0.148364,0.294677,0.22623,0.141937
29.5,0.0540839,0.0572694,0.109047,0.12129,0.275568,0.235981,0.168413
29.6,0.0784785,0.0770776,0.103917,0.131608,0.228876,0.343943,0.28799
29.7,0.0308018,0.0213479,0.0409304,0.0263949,0.37374899,0.0878942,0.0409872
29.9,0.100732,0.100235,0.134835,0.149398,0.265685,0.269937,0.230098
